Indexes,URL,Status,Category,Note
Nifty100 Liquid 15,https://www.niftyindices.com/indices/equity/thematic-indices/nifty-100-liquid-15,Working,Thematic Indices,
Nifty CPSE,https://www.niftyindices.com/indices/equity/thematic-indices/nifty-cpse,Working,Thematic Indices,
Nifty Midcap Liquid 15,https://www.niftyindices.com/indices/equity/thematic-indices/nifty-midcap-liquid-15,Working,Thematic Indices,
NIFTY100 ESG,https://www.niftyindices.com/indices/equity/thematic-indices/nifty100-esg,Not Working,Thematic Indices,
NIFTY100 Enhanced ESG,https://www.niftyindices.com/indices/equity/thematic-indices/nifty100-enhanced-esg,Not Working,Thematic Indices,
Nifty India Corporate Group Index - Mahindra Group,https://niftyindices.com/indices/equity/thematic-indices/nifty-india-corporate-group-index---mahindra-group,Working,Thematic Indices,
Nifty India Corporate Group Index - Aditya Birla Group,https://niftyindices.com/indices/equity/thematic-indices/nifty-india-corporate-group-index---aditya-birla-group,Working,Thematic Indices,
Nifty India Corporate Group Index - Tata Group,https://niftyindices.com/indices/equity/thematic-indices/nifty-india-corporate-group-index---tata-group-25-cap,Working,Thematic Indices,
Nifty India Corporate Group Index - Tata Group 25% Cap,https://niftyindices.com/indices/equity/thematic-indices/nifty-india-corporate-group-index---tata-group-25-cap,Working,Thematic Indices,
NIFTY SME EMERGE,https://www.niftyindices.com/indices/equity/thematic-indices/nifty-sme-emerge,Working,Thematic Indices,
Nifty India Digital,https://niftyindices.com/indices/equity/thematic-indices/nifty-india-digital,Working,Thematic Indices,
Nifty Mobility,https://www.niftyindices.com/indices/equity/thematic-indices/nifty-mobility,Working,Thematic Indices,
Nifty India Defence,https://www.niftyindices.com/indices/equity/thematic-indices/nifty-india-defence,Working,Thematic Indices,
Nifty Housing,https://www.niftyindices.com/indices/equity/thematic-indices/nifty-housing,Working,Thematic Indices,
Nifty REITs & InvITs,https://www.niftyindices.com/indices/equity/thematic-indices/nifty-reits-invits,Working,Thematic Indices,
Nifty Core Housing,https://niftyindices.com/indices/equity/thematic-indices/nifty-core-housing,Working,Thematic Indices,
Nifty500 Multicap Infrastructure 50:30:20,https://www.niftyindices.com/indices/equity/thematic-indices/nifty500-multicap-india-manufacturing-50-30-20,Working,Thematic Indices,
Nifty Rural,https://niftyindices.com/indices/equity/thematic-indices/nifty-rural,Working,Thematic Indices,
Nifty Capital Markets,https://niftyindices.com/indices/equity/thematic-indices/nifty-capital-markets,Working,Thematic Indices,
Nifty India New Age Consumption,https://niftyindices.com/indices/equity/thematic-indices/nifty-india-new-age-consumption,Working,Thematic Indices,
Nifty India Select 5 Corporate Groups (MAATR),https://niftyindices.com/indices/equity/thematic-indices/nifty-india-select-5-corporate-groups-(maatr),Working,Thematic Indices,
Nifty India Railways PSU,https://niftyindices.com/indices/equity/thematic-indices/nifty-india-railways-psu,Working,Thematic Indices,
Nifty Non-Cyclical Consumer,https://www.niftyindices.com/indices/equity/thematic-indices/nifty-non-cyclical-consumer,Working,Thematic Indices,
Nifty500 Multicap India Manufacturing 50:30:20,https://www.niftyindices.com/indices/equity/thematic-indices/nifty500-multicap-infrastructure-50-30-20,Working,Thematic Indices,
Nifty EV & New Age Automotive,https://niftyindices.com/indices/equity/thematic-indices/nifty-ev-new-age-automotive,Working,Thematic Indices,
Nifty India Tourism,https://niftyindices.com/indices/equity/thematic-indices/nifty-india-tourism,Working,Thematic Indices,
Nifty IPO,https://niftyindices.com/indices/equity/thematic-indices/nifty-ipo,Working,Thematic Indices,
Nifty India Manufacturing,https://www.niftyindices.com/indices/equity/thematic-indices/nifty-india-manufacturing,Working,Thematic Indices,
Nifty100 ESG Sector Leaders,https://www.niftyindices.com/indices/equity/thematic-indices/nifty100-esg-sector-leaders,Not Working,Thematic Indices,
Nifty50 Dividend Points,https://www.nseindia.com/products-services/indices-nifty50dividendpoints-index,Not Working,,csv not available
Nifty50 Shariah,https://www.nseindia.com/products-services/indices-nifty50shariah-index,Not Working,,csv not available
Nifty500 Shariah,https://www.nseindia.com/products-services/indices-nifty500shariah-index,Not Working,,csv not available
Nifty Shariah 25,https://www.niftyindices.com/indices/equity/thematic-indices/nifty-shariah-25,Not Working,,csv not available
Nifty50 TR 1x Inverse,https://www.nseindia.com/products-services/indices-nifty50tr1xinverse-index,Not Working,,csv not available
Nifty50 TR 2x Leverage,https://www.nseindia.com/products-services/indices-nifty50tr2xleverage-index,Not Working,,csv not available
Nifty50 PR 1x Inverse,https://www.nseindia.com/products-services/indices-nifty50pr1xinverse-index,Not Working,,csv not available
Nifty50 PR 2x Leverage,https://www.nseindia.com/products-services/indices-nifty50pr2xleverage-index,Not Working,,csv not available
Nifty 50 Futures Index,https://www.nseindia.com/products-services/indices-nifty50futuresindex-index,Not Working,,csv not available
Nifty 50 Arbitrage,https://www.nseindia.com/products-services/indices-nifty50arbitrage-index,Not Working,,csv not available
Nifty 50 Futures TR Index,https://www.nseindia.com/products-services/indices-nifty50futurestrindex-index,Not Working,,csv not available
Nifty Total Market,https://www.niftyindices.com/indices/equity/broad-based-indices/nifty-total-market,Working,,Indices --> Equity -->  Broad based Indices
Nifty Financial Services Ex-Bank,https://www.nseindia.com/products-services/indices-niftyfinancialservicesexbank-index,Not Working,,csv not available
Nifty Transportation & Logistics,https://www.nseindia.com/products-services/indices-niftytransportationlogistics-index,Not Working,,csv not available
Nifty MidSmall India Consumption,https://www.nseindia.com/products-services/indices-niftymidsmallindiaconsumption-index,Not Working,,csv not available
Nifty India Internet & E-Commerce,https://www.nseindia.com/products-services/indices-niftyindiainternetecommerce-index,Not Working,,csv not available
Nifty 8-13 yr G-Sec,https://www.nseindia.com/products-services/indices-nifty813yrgsec-index,Not Working,,csv not available
Nifty 4-8 yr G-Sec Index,https://www.nseindia.com/products-services/indices-nifty48yrgsecindex-index,Not Working,,csv not available
Nifty 11-15 yr G-Sec Index,https://www.nseindia.com/products-services/indices-nifty1115yrgsecindex-index,Not Working,,csv not available
Nifty 15 yr and above G-Sec Index,https://www.nseindia.com/products-services/indices-nifty15yrandabovegsecindex-index,Not Working,,csv not available
Nifty Composite G-sec Index,https://www.nseindia.com/products-services/indices-niftycompositegsecindex-index,Not Working,,csv not available
Nifty 10 yr Benchmark G-Sec,https://www.nseindia.com/products-services/indices-nifty10yrbenchmarkgsec-index,Not Working,,csv not available
Nifty 10 yr Benchmark G-Sec (Clean Price),https://www.nseindia.com/products-services/indices-nifty10yrbenchmarkgseccleanprice-index,Not Working,,csv not available
Nifty BHARAT Bond Index - April 2030,https://www.niftyindices.com/indices/fixed-income/target-maturity-index/nifty-bharat-bond-index-april-2030,Working,,Fixed Income -->  Target Maturity Indices [Category]
Nifty BHARAT Bond Index - April 2031,https://www.niftyindices.com/indices/fixed-income/target-maturity-index/nifty-bharat-bond-index-april-2030,Working,,Fixed Income -->  Target Maturity Indices [Category]
Nifty BHARAT Bond Index - April 2032,https://www.niftyindices.com/indices/fixed-income/target-maturity-index/nifty-bharat-bond-index-april-2032,Working,,Fixed Income -->  Target Maturity Indices [Category]
Nifty BHARAT Bond Index - April 2033,https://www.niftyindices.com/indices/fixed-income/target-maturity-index/nifty-bharat-bond-index---april-2033,Working,,Fixed Income -->  Target Maturity Indices [Category]
Nifty 1D Rate Index,https://www.nseindia.com/products-services/indices-nifty1drateindex-index,Not Working,,csv not available
Nifty50 USD,https://www.nseindia.com/products-services/indices-nifty50usd-index,Not Working,,csv not available
